image,title,content,authors,date
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Опрос Fidelity показал сохранение интереса институционалов к криптовалютам,"74% опрошенных инвестиционным гигантом Fidelity институционалов планируют приобрести цифровые активы в будущем, несмотря на криптозиму.  
",,2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",СМИ: Google купила ИИ-стартап Alter за $100 млн,Компания Google приобрела стартап по созданию аватаров с помощью искусственного интеллекта Alter за $100 млн.,,2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Глава Binance предупредил о продвижении фишинговых сайтов через Google,"CEO Binance Чанпэн Чжао обратил внимание, что результаты поиска в Google продвигают нацеленные на пользователей криптовалют фишинговые сайты.",,2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Доля Ripple среди холдеров XRP впервые опустилась ниже 50%,"Впервые в истории объем принадлежащих Ripple Labs токенов XRP опустился ниже 50% от эмиссии. Такие данные приводятся в отчете о деятельности компании за третий квартал.
",,2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",В Великобритании призвали запретить полиции использовать распознавание лиц,"Британские исследователи призвали запретить полиции использовать системы распознавания лиц на улицах, в аэропортах и ​​любых общественных местах.",,2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Блокчейн-конкурент Uber привлек $9 млн на децентрализацию райдшеринга,"Разработчик программного обеспечения Decentralized Engineering Corporation (DEC) привлек $9 млн в ходе посевного раунда финансирования, сообщает The Block.",,2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","Попечитель при банкротстве Celsius отклонил выплату сотрудникам $2,96 млн","Доверительный управляющий в процессе реструктуризации Celsius Network возразил против выплаты бонусов части команды за продолжение работы в размере $2,96 млн. Он сослался на отсутствие достаточной информации в ходатайстве.
",,2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",В Twitter анонсировали опцию отображения NFT,Разработчики Twitter анонсировали опцию отображения невзаимозаменяемых токенов (NFT) в постах. Инициативу реализуют в партнерстве с четырьмя маркетплейсами. ,,2022-10-28T00:00:00
,В сети THORchain произошел многочасовой сбой,27 октября DeFi-протокол THORchain на базе Cosmos приостановил работу из-за сбоя в программном обеспечении.,,2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",СМИ: негативная переоценка одного из фондов Pantera Capital достигла 71%,"Потери одного из фондов Pantera Capital с инвестициями в токены на ранних стадиях с января по сентябрь составили 71%. Это следует из презентации для инвесторов, которую удалось изучить The Block.
",,2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Илон Маск закрыл сделку по покупке Twitter,"Основатель Tesla Илон Маск закрыл сделку по покупке Twitter за $44 млрд. Предыдущий CEO компании Параг Агравал и ее финансовый директор Нед Сигал покинули штаб-квартиру, сообщает CNBC.",,2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Команда Telegram запустила платформу Fragment для продажи имен пользователей,Команда мессенджера Telegram запустила маркетплейс Fragment для продажи идентификаторов учетных записей.,,2022-10-27T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Разработчики Filecoin запустили сеть доставки контента Saturn,Создатели платформы децентрализованного хранения данных Filecoin запустили сеть доставки контента Saturn.,,2022-10-27T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Google представил облачный сервис для Web3-разработчиков,"Компания Google представила ориентированный на Web3-разработчиков сервис, призванный упростить развертывание нод.",,2022-10-27T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","Хакер вывел из DeFi-протокола Team Finance активы на $15,8 млн","Неизвестный использовал уязвимость в DeFi-протоколе Team Finance и вывел криптовалютные активы на $15,8 млн.",,2022-10-27T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Huobi прекратит поддержку HUSD и переведет активы пользователей в USDT,Криптовалютная биржа Huobi прекратит поддержку стейблкоина HUSD.,,2022-10-27T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Core Scientific столкнулась с угрозой банкротства,Публичная майнинговая компания и провайдер блокчейн-хостинга Core Scientific до конца года может окончательно исчерпать резервы в виде денежных средств и эквивалентов. Такая информация содержится в отчетности для SEC.,,2022-10-27T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Сэм Бэнкман-Фрид допустил запуск стейблкоина от FTX,"Глава FTX Сэм Бэнкман-Фрид в интервью The Big Whale сообщил, что криптобиржа работает над собственной ""стабильной монетой"".",,2022-10-27T00:00:00
image,title,content,authors,date
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","Итоги недели: биткоин пробил $20 000, а Илон Маск закрыл сделку по покупке Twitter","Котировки биткоина пробили уровень $20 000, Илон Маск закрыл сделку по покупке Twitter, команда Telegram запустила платформу Fragment для продажи имен пользователей и другие события уходящей недели.",[None],2022-10-30T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Чарльз Хоскинсон предложил перевести Dogecoin на блокчейн Cardano,"Основатель Cardano Чарльз Хоскинсон допустил, что после покупки Twitter Илоном Маском Dogecoin (DOGE) могут интегрировать с социальной платформой, и предложил перевести мем-криптовалюту в экосистему своего проекта.",[None],2022-10-30T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","Meta потеряла $730 млрд стоимости, ученые создали «свитер-невидимку», и другие новости из мира ИИ",ForkLog AI собрал наиболее важные новости из мира ИИ за прошедшую неделю.,[None],2022-10-30T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Виталик Бутерин раскритиковал ограничительное регулирование криптоиндустрии,"Регуляторные инициативы, строго ограничивающие функции криптовалютных проектов, могут упростить последним доступ к институциональному капиталу, но пагубно повлияют на развитие индустрии. Об этом заявил сооснователь Ethereum Виталик Бутерин.",[None],2022-10-30T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","Вестник институционала: Celestia привлек $55 млн, а Stardust — $30 млн","Криптовалютная индустрия привлекает все большее число институциональных игроков. Об этом говорят и новые инвестиции в инфраструктуру, и все более пристальное внимание, которое компании проявляют к биткоину как классу активов. Наиболее важные события последних недель — в обзоре ForkLog.",[None],2022-10-29T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","Dogecoin выросла на 80% за неделю и преодолела $0,1 впервые с мая","За последнюю неделю мем-криптовалюта Dogecoin (DOGE) выросла более чем на 80%, согласно CoinGecko. Актив преодолел уровень $0,1 впервые с мая 2022 года.",[None],2022-10-29T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Артур Хэйес допустил возвращение Китая в криптоиндустрию через Гонконг,Бывший CEO биткоин-биржи BitMEX Артур Хэйес рассказал о возможности возвращения Китая в индустрию цифровых активов с помощью Гонконга.,[None],2022-10-29T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Эксперт спрогнозировал рост капитализации рынка криптовалют до $300 трлн,Бывший топ-менеджер Goldman Sachs и макроинвестор Рауль Пал допустил рост общей капитализации рынка цифровых активов до $300 трлн в ближайшие 10–15 лет.,[None],2022-10-29T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","Утечка 3 ТБ данных из Thomson Reuters, двойные атаки на держателей крипты и другие события кибербезопасности",Мы собрали наиболее важные новости из мира кибербезопасности за неделю.,[None],2022-10-29T00:00:00
,Биткоин-биржа Coincheck обозначила сроки выхода на Nasdaq,Японская криптовалютная биржа Coincheck планирует выйти на биржу Nasdaq 2 июля 2023 года. Об этом говорится в документах для SEC.,[None],2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Трейдер усомнился в длительном росте цены биткоина,О текущей ситуации на рынке рассказывает практикующий трейдер и основатель проекта Crypto Shaman Вадим Шовкун.,[None],2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Цена Dogecoin выросла почти на 10% после покупки Twitter Илоном Маском,"За последние сутки Dogecoin (DOGE) — «любимая криптовалюта» Илона Маска — подорожала на 9,7%, согласно CoinGecko. ",[None],2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Объем активов WisdomTree в криптопродуктах сократился на 36%,"По итогам июля-сентября средневзвешенный объем активов в криптопродуктах управляющей компании WisdomTree упал на 36% относительно второго квартала, до $178 млн.",[None],2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Виталик Бутерин перечислил преимущества криптовалют перед золотом,Сооснователь Ethereum Виталик Бутерин в ответ на реплику американского карикатуриста Зака Вайнерсмита перечислил три основных преимущества криптовалют перед золотом.,[None],2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Комиссарка CFTC сравнила риск «заражения» крипторынка с кризисом 2008 года,"Наблюдаемые на криптовалютном рынке уязвимости аналогичны тем, которые были характерны для глобального финансового кризиса, что делает необходимым расширение полномочий CFTC. Об этом заявила комиссарка ведомства Кристи Голдсмит Ромеро.",[None],2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Эксперты насчитали до 15 мошенничеств со смарт-контрактами в час,"За час на крипторынке в среднем создается 15 вредоносных смарт-контрактов в 12 ведущих блокчейнах. Примерно каждые четыре минуты появляется новый токен, запрограммированный на мошенничество, сообщили специалисты Solidus Labs.",[None],2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Опрос Fidelity показал сохранение интереса институционалов к криптовалютам,"74% опрошенных инвестиционным гигантом Fidelity институционалов планируют приобрести цифровые активы в будущем, несмотря на криптозиму.  
",[None],2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",СМИ: Google купила ИИ-стартап Alter за $100 млн,Компания Google приобрела стартап по созданию аватаров с помощью искусственного интеллекта Alter за $100 млн.,[None],2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Глава Binance предупредил о продвижении фишинговых сайтов через Google,"CEO Binance Чанпэн Чжао обратил внимание, что результаты поиска в Google продвигают нацеленные на пользователей криптовалют фишинговые сайты.",[None],2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Доля Ripple среди холдеров XRP впервые опустилась ниже 50%,"Впервые в истории объем принадлежащих Ripple Labs токенов XRP опустился ниже 50% от эмиссии. Такие данные приводятся в отчете о деятельности компании за третий квартал.
",[None],2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",В Великобритании призвали запретить полиции использовать распознавание лиц,"Британские исследователи призвали запретить полиции использовать системы распознавания лиц на улицах, в аэропортах и ​​любых общественных местах.",[None],2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Блокчейн-конкурент Uber привлек $9 млн на децентрализацию райдшеринга,"Разработчик программного обеспечения Decentralized Engineering Corporation (DEC) привлек $9 млн в ходе посевного раунда финансирования, сообщает The Block.",[None],2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","Попечитель при банкротстве Celsius отклонил выплату сотрудникам $2,96 млн","Доверительный управляющий в процессе реструктуризации Celsius Network возразил против выплаты бонусов части команды за продолжение работы в размере $2,96 млн. Он сослался на отсутствие достаточной информации в ходатайстве.
",[None],2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",В Twitter анонсировали опцию отображения NFT,Разработчики Twitter анонсировали опцию отображения невзаимозаменяемых токенов (NFT) в постах. Инициативу реализуют в партнерстве с четырьмя маркетплейсами. ,[None],2022-10-28T00:00:00
,В сети THORchain произошел многочасовой сбой,27 октября DeFi-протокол THORchain на базе Cosmos приостановил работу из-за сбоя в программном обеспечении.,[None],2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",СМИ: негативная переоценка одного из фондов Pantera Capital достигла 71%,"Потери одного из фондов Pantera Capital с инвестициями в токены на ранних стадиях с января по сентябрь составили 71%. Это следует из презентации для инвесторов, которую удалось изучить The Block.
",[None],2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Илон Маск закрыл сделку по покупке Twitter,"Основатель Tesla Илон Маск закрыл сделку по покупке Twitter за $44 млрд. Предыдущий CEO компании Параг Агравал и ее финансовый директор Нед Сигал покинули штаб-квартиру, сообщает CNBC.",[None],2022-10-28T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Команда Telegram запустила платформу Fragment для продажи имен пользователей,Команда мессенджера Telegram запустила маркетплейс Fragment для продажи идентификаторов учетных записей.,[None],2022-10-27T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Разработчики Filecoin запустили сеть доставки контента Saturn,Создатели платформы децентрализованного хранения данных Filecoin запустили сеть доставки контента Saturn.,[None],2022-10-27T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Google представил облачный сервис для Web3-разработчиков,"Компания Google представила ориентированный на Web3-разработчиков сервис, призванный упростить развертывание нод.",[None],2022-10-27T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","Хакер вывел из DeFi-протокола Team Finance активы на $15,8 млн","Неизвестный использовал уязвимость в DeFi-протоколе Team Finance и вывел криптовалютные активы на $15,8 млн.",[None],2022-10-27T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Huobi прекратит поддержку HUSD и переведет активы пользователей в USDT,Криптовалютная биржа Huobi прекратит поддержку стейблкоина HUSD.,[None],2022-10-27T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Core Scientific столкнулась с угрозой банкротства,Публичная майнинговая компания и провайдер блокчейн-хостинга Core Scientific до конца года может окончательно исчерпать резервы в виде денежных средств и эквивалентов. Такая информация содержится в отчетности для SEC.,[None],2022-10-27T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Сэм Бэнкман-Фрид допустил запуск стейблкоина от FTX,"Глава FTX Сэм Бэнкман-Фрид в интервью The Big Whale сообщил, что криптобиржа работает над собственной ""стабильной монетой"".",[None],2022-10-27T00:00:00
image,title,content,authors,date
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","Итоги недели: биткоин пробил $20 000, а Илон Маск закрыл сделку по покупке Twitter","Котировки биткоина пробили уровень $20 000, Илон Маск закрыл сделку по покупке Twitter, команда Telegram запустила платформу Fragment для продажи имен пользователей и другие события уходящей недели.",,2022-10-30T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Чарльз Хоскинсон предложил перевести Dogecoin на блокчейн Cardano,"Основатель Cardano Чарльз Хоскинсон допустил, что после покупки Twitter Илоном Маском Dogecoin (DOGE) могут интегрировать с социальной платформой, и предложил перевести мем-криптовалюту в экосистему своего проекта.",,2022-10-30T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","Meta потеряла $730 млрд стоимости, ученые создали «свитер-невидимку», и другие новости из мира ИИ",ForkLog AI собрал наиболее важные новости из мира ИИ за прошедшую неделю.,,2022-10-30T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Виталик Бутерин раскритиковал ограничительное регулирование криптоиндустрии,"Регуляторные инициативы, строго ограничивающие функции криптовалютных проектов, могут упростить последним доступ к институциональному капиталу, но пагубно повлияют на развитие индустрии. Об этом заявил сооснователь Ethereum Виталик Бутерин.",,2022-10-30T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","Вестник институционала: Celestia привлек $55 млн, а Stardust — $30 млн","Криптовалютная индустрия привлекает все большее число институциональных игроков. Об этом говорят и новые инвестиции в инфраструктуру, и все более пристальное внимание, которое компании проявляют к биткоину как классу активов. Наиболее важные события последних недель — в обзоре ForkLog.",,2022-10-29T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","Dogecoin выросла на 80% за неделю и преодолела $0,1 впервые с мая","За последнюю неделю мем-криптовалюта Dogecoin (DOGE) выросла более чем на 80%, согласно CoinGecko. Актив преодолел уровень $0,1 впервые с мая 2022 года.",,2022-10-29T00:00:00
"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Артур Хэйес допустил возвращение Китая в криптоиндустрию через Гонконг,Бывший CEO биткоин-биржи BitMEX Артур Хэйес рассказал о возможности возвращения Китая в индустрию цифровых активов с помощью Гонконга.,,2022-10-29T00:00:00
